Epoch,Loss
1,0.6962
2,0.6885
3,0.6813
4,0.6744
5,0.6675
6,0.6607
7,0.6541
8,0.6465
9,0.6376
10,0.6263
11,0.6106
12,0.5849
13,0.5374
14,0.4416
15,0.2879
16,0.2572
17,0.3313
18,0.3324
19,0.2753
20,0.2256
21,0.2325
22,0.2518
23,0.2511
24,0.2335
25,0.2160
26,0.2226
27,0.2332
28,0.2260
29,0.2133
30,0.2131
31,0.2190
32,0.2188
33,0.2119
34,0.2077
35,0.2120
36,0.2117
37,0.2065
38,0.2042
39,0.2050
40,0.2047
41,0.2024
42,0.2015
43,0.2022
44,0.2002
45,0.1986
46,0.1984
47,0.1975
48,0.1962
49,0.1961
50,0.1950
51,0.1937
52,0.1933
53,0.1922
54,0.1915
55,0.1909
56,0.1898
57,0.1894
58,0.1884
59,0.1883
60,0.1873
61,0.1870
62,0.1863
63,0.1857
64,0.1854
65,0.1846
66,0.1841
67,0.1840
68,0.1837
69,0.1832
70,0.1827
71,0.1826
72,0.1828
73,0.1827
74,0.1825
75,0.1821
76,0.1821
77,0.1822
78,0.1819
79,0.1816
80,0.1816
81,0.1815
82,0.1813
83,0.1813
84,0.1812
85,0.1810
86,0.1810
87,0.1809
88,0.1808
89,0.1807
90,0.1807
91,0.1806
92,0.1805
93,0.1804
94,0.1803
95,0.1802
96,0.1801
97,0.1800
98,0.1799
99,0.1799
100,0.1798
101,0.1796
102,0.1795
103,0.1794
104,0.1793
105,0.1792
106,0.1791
107,0.1790
108,0.1789
109,0.1788
110,0.1787
111,0.1786
112,0.1785
113,0.1784
114,0.1783
115,0.1782
116,0.1781
117,0.1780
118,0.1779
119,0.1778
120,0.1777
121,0.1776
122,0.1774
123,0.1773
124,0.1772
125,0.1771
126,0.1770
127,0.1769
128,0.1768
129,0.1767
130,0.1766
131,0.1765
132,0.1764
133,0.1763
134,0.1761
135,0.1759
136,0.1757
137,0.1756
138,0.1755
139,0.1754
140,0.1754
141,0.1753
142,0.1752
143,0.1751
144,0.1750
145,0.1748
146,0.1747
147,0.1745
148,0.1743
149,0.1742
150,0.1741
151,0.1740
152,0.1739
153,0.1739
154,0.1741
155,0.1748
156,0.1758
157,0.1754
158,0.1736
159,0.1735
160,0.1746
161,0.1739
162,0.1730
163,0.1738
164,0.1737
165,0.1728
166,0.1732
167,0.1734
168,0.1726
169,0.1727
170,0.1731
171,0.1726
172,0.1723
173,0.1726
174,0.1726
175,0.1721
176,0.1721
177,0.1723
178,0.1722
179,0.1718
180,0.1717
181,0.1718
182,0.1719
183,0.1717
184,0.1715
185,0.1713
186,0.1713
187,0.1713
188,0.1714
189,0.1715
190,0.1717
191,0.1718
192,0.1720
193,0.1718
194,0.1716
195,0.1710
196,0.1705
197,0.1703
198,0.1703
199,0.1705
200,0.1709
201,0.1716
202,0.1720
203,0.1727
204,0.1711
205,0.1699
206,0.1696
207,0.1702
208,0.1710
209,0.1705
210,0.1697
211,0.1691
212,0.1692
213,0.1697
214,0.1700
215,0.1703
216,0.1695
217,0.1689
218,0.1684
219,0.1682
220,0.1683
221,0.1686
222,0.1695
223,0.1703
224,0.1710
225,0.1684
226,0.1673
227,0.1673
228,0.1681
229,0.1701
230,0.1700
231,0.1677
232,0.1665
233,0.1666
234,0.1677
235,0.1695
236,0.1682
237,0.1668
238,0.1661
239,0.1656
240,0.1653
241,0.1651
242,0.1649
243,0.1647
244,0.1645
245,0.1645
246,0.1660
247,0.1776
248,0.1655
249,0.2108
250,0.2185
251,0.1680
252,0.2226
253,0.2631
254,0.2257
255,0.1711
256,0.2183
257,0.2593
258,0.2505
259,0.2123
260,0.1741
261,0.1885
262,0.2152
263,0.2170
264,0.1980
265,0.1767
266,0.1789
267,0.1880
268,0.1868
269,0.1790
270,0.1765
271,0.1823
272,0.1825
273,0.1762
274,0.1732
275,0.1757
276,0.1767
277,0.1738
278,0.1728
279,0.1752
280,0.1735
281,0.1705
282,0.1716
283,0.1725
284,0.1710
285,0.1702
286,0.1712
287,0.1705
288,0.1689
289,0.1690
290,0.1694
291,0.1687
292,0.1683
293,0.1686
294,0.1680
295,0.1671
296,0.1672
297,0.1672
298,0.1666
299,0.1664
300,0.1663
301,0.1656
302,0.1654
303,0.1653
304,0.1648
305,0.1645
306,0.1642
307,0.1636
308,0.1634
309,0.1630
310,0.1626
311,0.1621
312,0.1615
313,0.1611
314,0.1606
315,0.1601
316,0.1596
317,0.1590
318,0.1586
319,0.1581
320,0.1575
321,0.1570
322,0.1566
323,0.1566
324,0.1565
325,0.1559
326,0.1550
327,0.1548
328,0.1549
329,0.1547
330,0.1539
331,0.1534
332,0.1533
333,0.1535
334,0.1539
335,0.1535
336,0.1526
337,0.1518
338,0.1520
339,0.1524
340,0.1518
341,0.1510
342,0.1506
343,0.1508
344,0.1509
345,0.1503
346,0.1497
347,0.1495
348,0.1496
349,0.1495
350,0.1490
351,0.1486
352,0.1483
353,0.1482
354,0.1483
355,0.1483
356,0.1484
357,0.1478
358,0.1472
359,0.1467
360,0.1465
361,0.1466
362,0.1469
363,0.1474
364,0.1468
365,0.1458
366,0.1450
367,0.1453
368,0.1457
369,0.1453
370,0.1444
371,0.1439
372,0.1441
373,0.1443
374,0.1437
375,0.1430
376,0.1425
377,0.1425
378,0.1427
379,0.1427
380,0.1428
381,0.1420
382,0.1414
383,0.1406
384,0.1406
385,0.1404
386,0.1403
387,0.1407
388,0.1418
389,0.1426
390,0.1406
391,0.1395
392,0.1405
393,0.1391
394,0.1388
395,0.1387
396,0.1375
397,0.1378
398,0.1377
399,0.1368
400,0.1365
401,0.1360
402,0.1359
403,0.1356
404,0.1352
405,0.1345
406,0.1341
407,0.1340
408,0.1340
409,0.1344
410,0.1356
411,0.1346
412,0.1321
413,0.1325
414,0.1326
415,0.1321
416,0.1303
417,0.1305
418,0.1312
419,0.1318
420,0.1303
421,0.1309
422,0.1319
423,0.1329
424,0.1293
425,0.1292
426,0.1307
427,0.1277
428,0.1297
429,0.1293
430,0.1283
431,0.1276
432,0.1266
433,0.1262
434,0.1258
435,0.1254
436,0.1245
437,0.1239
438,0.1232
439,0.1231
440,0.1228
441,0.1223
442,0.1219
443,0.1209
444,0.1205
445,0.1200
446,0.1195
447,0.1193
448,0.1201
449,0.1256
450,0.1203
451,0.1187
452,0.1205
453,0.1234
454,0.1187
455,0.1182
456,0.1183
457,0.1180
458,0.1189
459,0.1165
460,0.1167
461,0.1161
462,0.1156
463,0.1156
464,0.1149
465,0.1153
466,0.1140
467,0.1142
468,0.1135
469,0.1133
470,0.1129
471,0.1127
472,0.1122
473,0.1122
474,0.1116
475,0.1117
476,0.1114
477,0.1115
478,0.1126
479,0.1151
480,0.1178
481,0.1134
482,0.1254
483,0.1175
484,0.1274
485,0.1286
486,0.1156
487,0.1225
488,0.1196
489,0.1177
490,0.1214
491,0.1149
492,0.1168
493,0.1170
494,0.1138
495,0.1141
496,0.1148
497,0.1125
498,0.1123
499,0.1125
500,0.1109
501,0.1109
502,0.1107
503,0.1096
504,0.1097
505,0.1093
506,0.1085
507,0.1087
508,0.1079
509,0.1080
510,0.1077
511,0.1070
512,0.1071
513,0.1066
514,0.1065
515,0.1061
516,0.1059
517,0.1057
518,0.1053
519,0.1053
520,0.1048
521,0.1047
522,0.1045
523,0.1043
524,0.1040
525,0.1040
526,0.1044
527,0.1050
528,0.1042
529,0.1032
530,0.1036
531,0.1028
532,0.1031
533,0.1026
534,0.1026
535,0.1022
536,0.1022
537,0.1018
538,0.1018
539,0.1018
540,0.1028
541,0.1052
542,0.1037
543,0.1029
544,0.1026
545,0.1023
546,0.1027
547,0.1017
548,0.1019
549,0.1016
550,0.1015
551,0.1012
552,0.1008
553,0.1009
554,0.1004
555,0.1004
556,0.1002
557,0.1005
558,0.1010
559,0.1033
560,0.1040
561,0.1012
562,0.0999
563,0.1017
564,0.0998
565,0.1000
566,0.1005
567,0.0990
568,0.1001
569,0.0993
570,0.0990
571,0.0994
572,0.0986
573,0.0990
574,0.0986
575,0.0984
576,0.0986
577,0.0981
578,0.0982
579,0.0981
580,0.0978
581,0.0980
582,0.0977
583,0.0976
584,0.0977
585,0.0974
586,0.0973
587,0.0974
588,0.0972
589,0.0970
590,0.0971
591,0.0970
592,0.0968
593,0.0968
594,0.0968
595,0.0967
596,0.0966
597,0.0965
598,0.0965
599,0.0964
600,0.0964
601,0.0964
602,0.0964
603,0.0965
604,0.0966
605,0.0966
606,0.0964
607,0.0961
608,0.0962
609,0.0963
610,0.0960
611,0.0960
612,0.0961
613,0.0963
614,0.0971
615,0.0983
616,0.0995
617,0.0975
618,0.0963
619,0.0973
620,0.0963
621,0.0962
622,0.0966
623,0.0957
624,0.0963
625,0.0959
626,0.0957
627,0.0960
628,0.0956
629,0.0957
630,0.0957
631,0.0955
632,0.0955
633,0.0955
634,0.0953
635,0.0955
636,0.0953
637,0.0953
638,0.0954
639,0.0953
640,0.0955
641,0.0956
642,0.0958
643,0.0961
644,0.0960
645,0.0956
646,0.0951
647,0.0950
648,0.0953
649,0.0953
650,0.0952
651,0.0950
652,0.0949
653,0.0951
654,0.0951
655,0.0951
656,0.0948
657,0.0948
658,0.0948
659,0.0949
660,0.0949
661,0.0947
662,0.0946
663,0.0946
664,0.0947
665,0.0947
666,0.0947
667,0.0946
668,0.0946
669,0.0945
670,0.0945
671,0.0945
672,0.0945
673,0.0945
674,0.0946
675,0.0946
676,0.0947
677,0.0949
678,0.0952
679,0.0953
680,0.0955
681,0.0952
682,0.0947
683,0.0945
684,0.0944
685,0.0948
686,0.0948
687,0.0947
688,0.0945
689,0.0944
690,0.0946
691,0.0946
692,0.0945
693,0.0943
694,0.0943
695,0.0944
696,0.0944
697,0.0943
698,0.0942
699,0.0942
700,0.0943
701,0.0943
702,0.0943
703,0.0943
704,0.0943
705,0.0945
706,0.0947
707,0.0950
708,0.0952
709,0.0949
710,0.0945
711,0.0942
712,0.0944
713,0.0945
714,0.0943
715,0.0942
716,0.0943
717,0.0943
718,0.0941
719,0.0941
720,0.0942
721,0.0942
722,0.0941
723,0.0940
724,0.0940
725,0.0941
726,0.0941
727,0.0940
728,0.0940
729,0.0940
730,0.0940
731,0.0939
732,0.0939
733,0.0939
734,0.0939
735,0.0939
736,0.0939
737,0.0939
738,0.0939
739,0.0939
740,0.0939
741,0.0940
742,0.0941
743,0.0944
744,0.0948
745,0.0952
746,0.0957
747,0.0953
748,0.0946
749,0.0940
750,0.0942
751,0.0947
752,0.0944
753,0.0940
754,0.0941
755,0.0943
756,0.0942
757,0.0939
758,0.0940
759,0.0940
760,0.0939
761,0.0938
762,0.0938
763,0.0939
764,0.0938
765,0.0938
766,0.0938
767,0.0938
768,0.0937
769,0.0937
770,0.0937
771,0.0938
772,0.0937
773,0.0937
774,0.0937
775,0.0937
776,0.0937
777,0.0936
778,0.0936
779,0.0936
780,0.0937
781,0.0936
782,0.0936
783,0.0937
784,0.0937
785,0.0938
786,0.0941
787,0.0947
788,0.0956
789,0.0958
790,0.0951
791,0.0939
792,0.0944
793,0.0949
794,0.0940
795,0.0943
