File: 1-r2v1, Center - Te: 706, Se: 642, Te Ratio: 52.37%, Border - Te: 36, Se: 16, Te Ratio: 69.23%
File: 2-r3v6, Center - Te: 755, Se: 579, Te Ratio: 56.60%, Border - Te: 45, Se: 11, Te Ratio: 80.36%
File: 3-r4v5, Center - Te: 675, Se: 661, Te Ratio: 50.52%, Border - Te: 32, Se: 8, Te Ratio: 80.00%
File: 4-r4v2, Center - Te: 713, Se: 630, Te Ratio: 53.09%, Border - Te: 38, Se: 18, Te Ratio: 67.86%
File: 5-r3v4, Center - Te: 733, Se: 623, Te Ratio: 54.06%, Border - Te: 42, Se: 5, Te Ratio: 89.36%
File: 6-r4v4, Center - Te: 710, Se: 628, Te Ratio: 53.06%, Border - Te: 44, Se: 15, Te Ratio: 74.58%
File: 7-r4v1, Center - Te: 631, Se: 713, Te Ratio: 46.95%, Border - Te: 33, Se: 17, Te Ratio: 66.00%
File: 8-r3v5, Center - Te: 693, Se: 650, Te Ratio: 51.60%, Border - Te: 28, Se: 16, Te Ratio: 63.64%
File: 9-r2v3, Center - Te: 781, Se: 567, Te Ratio: 57.94%, Border - Te: 22, Se: 25, Te Ratio: 46.81%
File: 10-r2v4, Center - Te: 722, Se: 627, Te Ratio: 53.52%, Border - Te: 51, Se: 10, Te Ratio: 83.61%
File: 11-r2v2, Center - Te: 731, Se: 618, Te Ratio: 54.19%, Border - Te: 36, Se: 20, Te Ratio: 64.29%
File: 12-r2v5, Center - Te: 745, Se: 593, Te Ratio: 55.68%, Border - Te: 56, Se: 8, Te Ratio: 87.50%
File: 13-r3v3, Center - Te: 765, Se: 580, Te Ratio: 56.88%, Border - Te: 45, Se: 13, Te Ratio: 77.59%
File: 14-r3v1, Center - Te: 735, Se: 622, Te Ratio: 54.16%, Border - Te: 46, Se: 11, Te Ratio: 80.70%
File: 15-r1v2, Center - Te: 753, Se: 603, Te Ratio: 55.53%, Border - Te: 25, Se: 21, Te Ratio: 54.35%
File: 16-r4v6, Center - Te: 776, Se: 654, Te Ratio: 54.27%, Border - Te: 40, Se: 17, Te Ratio: 70.18%
File: 17-r3v2, Center - Te: 707, Se: 626, Te Ratio: 53.04%, Border - Te: 45, Se: 13, Te Ratio: 77.59%
File: 18-r2v6, Center - Te: 739, Se: 598, Te Ratio: 55.27%, Border - Te: 32, Se: 23, Te Ratio: 58.18%
File: 19-r1v3, Center - Te: 771, Se: 580, Te Ratio: 57.07%, Border - Te: 38, Se: 14, Te Ratio: 73.08%
File: 20-r1v4, Center - Te: 795, Se: 544, Te Ratio: 59.37%, Border - Te: 38, Se: 23, Te Ratio: 62.30%
