Epoch,Loss
1,0.1546
2,0.1239
3,0.1175
4,0.1138
5,0.1112
6,0.1094
7,0.1078
8,0.1064
9,0.1052
10,0.1039
11,0.1030
12,0.1020
13,0.1011
14,0.1001
15,0.0994
16,0.0985
17,0.0977
18,0.0968
19,0.0961
20,0.0953
21,0.0946
22,0.0938
23,0.0931
24,0.0923
25,0.0917
26,0.0911
27,0.0905
28,0.0899
29,0.0895
30,0.0889
31,0.0884
32,0.0879
33,0.0874
34,0.0871
35,0.0867
36,0.0862
37,0.0859
38,0.0856
39,0.0853
40,0.0850
41,0.0847
42,0.0845
43,0.0842
44,0.0841
45,0.0838
46,0.0836
47,0.0835
48,0.0833
49,0.0832
50,0.0831
51,0.0831
52,0.0831
53,0.0831
54,0.0831
55,0.0831
56,0.0831
57,0.0831
58,0.0831
59,0.0831
60,0.0831
